RegionID,City,State,Zip Code,Latitude,Longitude
17426,Chicago,Illinois,60601,41.84393511914893,-87.78635165265958
18959,Las Vegas,Nevada,89101,36.16714483982684,-115.13964383593073
38128,Dallas,Texas,75201,32.78546690563107,-96.79829482601941
10920,Columbus,Ohio,43085,40.09538501587436,-83.0375997279287
12455,Louisville,Kentucky,40202,38.25122790183851,-85.7494003126708
13121,Orlando,Florida,32801,28.54301509869281,-81.3764156993464
11093,Denver,Colorado,80202,39.750888708885945,-104.99662415053051
41568,Washington,District of Columbia,20001,38.915410882917115,-77.01782625863444
13373,Portland,Oregon,97201,45.508517232669156,-122.69277027160646
6118,Nashville,Tennessee,37201,36.16435977416667,-86.7747828575
40152,Omaha,Nebraska,68102,41.26104168238994,-95.93493489979036
33225,Oklahoma City,Oklahoma,73102,35.45273474888179,-97.5166614683706
54047,Raleigh,North Carolina,27601,35.77797953110774,-78.6341786013657
4172,Colorado Springs,Colorado,80902,38.756039618181816,-104.80601142727272
5983,Minneapolis,Minnesota,55401,44.98215400666667,-93.27164322083334
44055,Baton Rouge,Louisiana,70801,30.449104396969698,-91.18807097272727
16846,Aurora,Colorado,80010,39.739316613863,-104.86490586398516
16764,Anaheim,California,92801,33.844965038846155,-117.95404887612982
25574,Lexington,Kentucky,40502,38.02893302074304,-84.48954228111455
20313,Saint Paul,Minnesota,55101,44.956192922018346,-93.08843420779817
19533,Naples,Florida,34102,26.149374858742334,-81.79774084018405
47945,Tallahassee,Florida,32301,30.4353912097532,-84.25398755890575
11867,Henderson,Nevada,89002,35.99262889736842,-114.93797991842105
20604,Spokane,Washington,99201,47.65973286875,-117.42585902125
53856,Pensacola,Florida,32501,30.42475606793003,-87.22701095714285
52650,Irvine,California,92602,33.73520629887154,-117.76516165849625
30258,Arlington,Virginia,22201,38.88666783910485,-77.09696222933388
7222,Springfield,Missouri,65802,37.21179992181146,-93.30712213373383
14701,Woodbridge,Virginia,22191,38.6360499840719,-77.26663719607023
24821,Gainesville,Florida,32601,29.663318623719675,-82.33866141873315
34937,Yonkers,New York,10701,40.94338618996149,-73.88600446869557
10215,Aurora,Illinois,60502,41.792459945434786,-88.26001470695651
21320,Wilmington,North Carolina,28401,34.23650893110465,-77.94015331831396
25218,Huntington Beach,California,92646,33.66856926811066,-117.9678330563217
38438,Eugene,Oregon,97401,44.071122917257476,-123.07728732964773
33501,Port Saint Lucie,Florida,34952,27.2901662916368,-80.29798881063321
52998,Little Rock,Arkansas,72201,34.74852336721992,-92.28222817676348
31471,Evansville,Indiana,47708,37.9737116168421,-87.57252729157895
20317,Salem,Oregon,97301,44.94868302265518,-123.0066100608021
30381,Beaverton,Oregon,97003,45.50521186959662,-122.8768135830608
11337,Escondido,California,92025,33.10672194133425,-117.06902461540578
4054,Charleston,South Carolina,29401,32.774635878089306,-79.93392671578401
19523,Murfreesboro,Tennessee,37127,35.78582594915254,-86.36304917966102
40492,Rancho Cucamonga,California,91701,34.139275629536684,-117.61161673899615
11529,Fredericksburg,Virginia,22401,38.29651911457521,-77.48338534816835
5424,Killeen,Texas,76541,31.115523829802953,-97.72982801945813
10843,Clarksville,Tennessee,37040,36.549999310159116,-87.34458425416157
182023,Henrico,Virginia,23075,37.54314269950189,-77.32248732239489
5519,Lakewood,Colorado,80722,40.537542,-103.2727589
20008,Pomona,California,91766,34.0408247715164,-117.7521544307377
54626,Sunnyvale,California,94085,37.385973776658474,-122.01611568697788
398300,Lansing,Michigan,48906,42.76324975542169,-84.56036662891567
51297,Cary,North Carolina,27511,35.76245975530809,-78.77754032828507
10918,Columbia,Missouri,65201,38.934745344148936,-92.29960936755319
12694,Mesquite,Texas,75149,32.77093535770521,-96.61064729519123
54722,Torrance,California,90501,33.81811327792,-118.31712560852
51447,Clearwater,Florida,33755,27.977325140080428,-82.77967600951743
24174,Compton,California,90220,33.88531714819277,-118.23853336230636
45888,Inglewood,California,90301,33.98111413197279,-118.36949056020407
33230,Olathe,Kansas,66061,38.89700497266993,-94.82848187526278
20793,Thornton,Colorado,80241,39.92053830619469,-104.96124879469026
17321,Carrollton,Texas,75006,32.96485770313901,-96.88982181130045
34278,Thousand Oaks,California,91360,34.199346970414204,-118.87576025147929
13234,Pearland,Texas,77581,29.56082595866365,-95.26390281585503
16726,Allentown,Pennsylvania,18101,40.60425667222222,-75.468228415
6103,Murrieta,California,92562,33.56573232904718,-117.21867661295097
33136,Norman,Oklahoma,73026,35.23056887696078,-97.31800564575163
33024,Nampa,Idaho,83651,43.602843922547585,-116.61337328243046
34781,Westminster,Colorado,80030,39.84277934491525,-105.03225216101696
44655,Clovis,California,93611,36.84012781369863,-119.71008381369863
10181,Arvada,Colorado,80002,39.79573675714286,-105.0867357904762
14208,Tuscaloosa,Alabama,35401,33.197592502168675,-87.56435545967871
51861,El Monte,California,91731,34.075691199272725,-118.04062139672727
34543,Ventura,California,93001,34.28515699537954,-119.28785058333332
39420,Lewisville,Texas,75057,32.99521685555556,-96.96952031388888
14542,West Covina,California,91790,34.06683192007673,-117.93825154066496
17943,Elgin,Illinois,60120,42.037607884764824,-88.26497097719836
11726,Greenville,North Carolina,27834,35.62079400298507,-77.39609792678274
11914,Hillsboro,Oregon,97123,45.49841116302537,-122.93867412829105
45548,Green Bay,Wisconsin,54301,44.48806636300212,-88.01953674926004
54121,Richardson,Texas,75080,32.97084395745554,-96.74263264883722
41629,West Chester,Pennsylvania,19380,39.99046780663037,-75.5935042426805
53636,Norwalk,California,90650,33.90788605897436,-118.08477904260936
