Year,Zip Code,Price,RegionID,City,State,Latitude,Longitude
2010,21037,357650.0,11262,Edgewater,Maryland,38.91970193821656,-76.538985670276
2010,21075,278400.0,35469,Elkridge,Maryland,39.196891245075385,-76.76025760363534
2010,21113,259450.0,29211,Odenton,Maryland,39.04899789744791,-76.71237977421875
2010,21114,293450.0,36864,Crofton,Maryland,39.01364574777563,-76.67818361489361
2010,21133,181950.0,54056,Randallstown,Maryland,39.375936190558555,-76.7996111620002
2010,21136,217300.0,47334,Reisterstown,Maryland,39.462010366164925,-76.81050723378652
2010,21144,288200.0,20425,Severn,Maryland,39.12820873990895,-76.68688727465857
2010,21146,448650.0,36733,Severna Park,Maryland,39.080961949639835,-76.55647138365174
2010,21234,140450.0,49547,Parkville,Maryland,39.388229955384496,-76.5385410627268
2010,21627,167450.0,160335,Lochearn,Maryland,38.24150203333333,-76.0524344
2010,21771,315150.0,32970,Mount Airy,Maryland,39.3599951840724,-77.13262635945702
2010,21784,278500.0,16040,Sykesville,Maryland,39.37455484849046,-76.96768754769597
2010,22003,352750.0,21472,Annandale,Virginia,38.83100444561981,-77.21504333192522
2010,22015,354450.0,17231,Burke,Virginia,38.786844305887456,-77.27834303094943
2010,22025,259300.0,24444,Dumfries,Virginia,38.60697232073674,-77.33921602019576
2010,22066,1087550.0,18373,Great Falls,Virginia,39.00186398660126,-77.30560172049219
2010,22079,316900.0,12446,Lorton,Virginia,38.713450575210345,-77.22095017233737
2010,22101,662900.0,46465,McLean,Virginia,38.92297703656005,-77.16241252525252
2010,22191,210650.0,14701,Woodbridge,Virginia,38.6360499840719,-77.26663719607023
2010,22201,478150.0,30258,Arlington,Virginia,38.88666783910485,-77.09696222933388
2010,22401,190950.0,11529,Fredericksburg,Virginia,38.29651911457521,-77.48338534816835
2010,22551,157500.0,41014,Spotsylvania,Virginia,38.15778370218926,-77.60224660282485
2010,22554,236200.0,54529,Stafford,Virginia,38.44697081410134,-77.41359193317399
2010,22630,141150.0,4826,Front Royal,Virginia,38.957818662833034,-78.16974769933393
2010,22963,190500.0,19827,Palmyra,Virginia,37.896691749395345,-78.30325163153489
2010,22980,169650.0,16269,Waynesboro,Virginia,38.0876527849158,-78.9180324587603
2010,23059,272200.0,31751,Glen Allen,Virginia,37.685440982365414,-77.55767212688552
2010,23075,190850.0,182023,Henrico,Virginia,37.54314269950189,-77.32248732239489
